BI10003	BI10004	BI10005	BI10006	BI10007	BI10008	BI10009	BI10010	BI10011	BI10012	BI10013	BI10014	BI10015	BI10016	BI10017	BI10018	BI10019	BI10020	BI10021	BI10022	BI10023	BI10023	BI10024	BI10024	BI10025	BI10026	BI10026	BI10027	BI10027	BI10028	BI10029	BI10030	BI10031	BI10032	BI10032	BI10033	BI10033	BI10034	BI10035	BI10036	BI10037	BI10038	BI10039	BI10040	BI10041	BI10042	BI10043	BI10044	BI10045	BI10046	BI10046	BI10047	BI10048	BI10049	BI10050	BI10051	BI10052p	BI10054	BI10054	BI10055	BI10055	BI10056	BI10056	BI10056	BI10058	BI10060	BI10060	BI10061	BI10061	BI10062	BI10062	BI10085	BI10086	BI10087
BI10003	1	0.309043833827843	0.236483734750455	0.282306251381042	0.430725438587267	0.584006235518819	0.57341138441999	0.539271479266219	0.561064228712008	0.256485911928474	0.36171641810269	0.228756134428235	0.202569249564575	0.171780309150419	0.0378636343395429	0.18539488194499	0.163538253001317	0.19303472371411	0.272096117654262	0.0514025662151894	0.241845359658792	0	0.130530556955472	0	0.109117787392992	0.114596675841418	0	0.107251700152957	0	0.626699229907526	0.451761272304076	0.367695963074397	0.0559734042320634	0.434486052573843	0	0.0930727641211518	0	0.335158624318156	0.596371174623579	0.318906812562273	0.234227960474703	0.250562217144166	0.613791291249603	0.401887888194181	0.248673358493356	0.284183879341488	0.526654787616246	0.296998338472865	0.116724445442984	0	0	0.13524874043268	0.0618322953025518	0.0235686185483303	0.0463214569815374	0.251483616408183	0.256591280775683	0.523031140268213	0	0	0	0	0	0	0.360900302556414	0.441086642930707	0	0.0214235190026273	0	0.0565636782348903	0	0.321748889749696	0.393960456292962	0.493829536016431
BI10004	0.309043833827843	1	0.831810158016125	0.606305700382279	0.680775637657938	0.100438574230442	0.0735492283738919	0.0865300943424362	0.0333331971064572	0.447916304272911	0.445417095086242	0.624045925493227	0.602137872728784	0.6650637924448	0.595345762697706	0.0944485254706413	0.107557496816726	0.117646241988542	0.131161151633013	0.365218081798735	0.13058160989912	0	0.0697598470909081	0	0.188471684777468	0.0560473852117228	0	0.616054197846714	0	0.0783351611591148	0.54281341012774	0.591005721157097	0.603857761963918	0.0361762697399709	0	0.114088490681959	0	0.0775499296535684	0.108617727235782	0.102339696806792	0.0854100002573785	0.258892135631958	0.346346101569542	0.370909163004311	0.450695647978833	0.332488909786315	0.470799708064237	0.513742768785123	0.473467175268561	0	0	0.260352839828673	0.264951664666527	0.431664858599464	0.580626471082643	0.119049482599761	0.377753639854736	0.149104196621287	0	0	0	0	0	0	0.256228858662321	0.0887522308902881	0	0.131687374896597	0	0.122425518744883	0	0.243608982069227	0.160652391389004	0.034518013697831
BI10005	0.236483734750455	0.831810158016125	1	0.75823723657377	0.657667607236348	0.104258131787433	0.156499422089101	0.168747536324838	0.108941571281533	0.494502293348819	0.473081404106482	0.552858921464371	0.519799162055204	0.611225102510547	0.641051930112371	0.033561318287807	0.0993022352493824	0.0343943399832632	0.0911200985294772	0.515712856370136	0.107682254905035	0	0.0694814382508232	0	0.288869120538014	0.101703333101879	0	0.519312388066102	0	0.160089573232425	0.504662571207471	0.544545476459685	0.623468319985829	0.0736577071785937	0	0.119624894873147	0	0.0283250514687008	0.131433313342968	0.0611447570066572	0.0680966151896139	0.216047177079269	0.277180121994717	0.292327755228261	0.399947299796535	0.191708686070546	0.355826530449979	0.407321885323954	0.410810858902129	0	0	0.379488258402167	0.387257252903385	0.525696761049031	0.625185411155492	0.103373239828009	0.329604783151692	0.0299299217784067	0	0	0	0	0	0	0.14755872581793	0.0476884220553747	0	0.00740870857304146	0	0.0419182785869908	0	0.146389551559872	0.126921493846524	0.0470131678661523
BI10006	0.282306251381042	0.606305700382279	0.75823723657377	1	0.551000579080189	0.0465345273830713	0.0656565865629031	0.105425683049846	0.0442888101481454	0.458951854926831	0.436495661893979	0.406382462737359	0.377500940485596	0.463912575248718	0.528424039749917	0.0815913157820969	0.0149373147748356	0.164102017724065	0.0646786262476617	0.342335999488272	0.0922537229046882	0	0.334226792719407	0	0.368235671674312	0.467802902649937	0	0.00629937849748102	0	0.0662465644037723	0.497923960105529	0.444193796818193	0.527907820035319	0.100962915300331	0	0.0649755960039279	0	0.178904381391002	0.222220650514899	0.0821041722085028	0.0896480449529286	0.271810478688098	0.250682153844211	0.283038933957313	0.371262839670082	0.168146563301132	0.281075583454702	0.289471104777166	0.295979315916008	0	0	0.444382769451161	0.444479346128076	0.498232604131258	0.563003784181475	0.112998368443367	0.247965749907595	0.178101988167096	0	0	0	0	0	0	0.0516311533482189	0.136425390450554	0	0.10680451858746	0	0.121652689055624	0	0.0122462418398875	0.0137456838074655	0.1022529404551
BI10007	0.430725438587267	0.680775637657938	0.657667607236348	0.551000579080189	1	0.00651675262425304	0.0876883632367147	0.128748164470072	0.0538115148108781	0.554860481715553	0.577003085643575	0.645365887079057	0.596781075440617	0.651590730454687	0.654597550445729	0.0330179990667296	0.0599821852236089	0.0444087394479146	0.0200059272150383	0.316733102836258	0.383523988295761	0	0.24197791195236	0	0.283879884117169	0.320550920766349	0	0.443537157970734	0	0.0172622677752372	0.644678843037492	0.653864790506028	0.673072387424405	0.485154311648555	0	0.0190166108101808	0	0.141429095591671	0.287364788478774	0.0358332405810531	0.0143546771494789	0.0738387436501314	0.374989384931572	0.299328120290613	0.271979290799432	0.0769817908118769	0.436893217314467	0.363259284379873	0.325666019799468	0	0	0.447043979919669	0.423553412152212	0.577556515535527	0.602890441844388	0.168081444144556	0.343387767173472	0.489458142395308	0	0	0	0	0	0	0.434554750034672	0.387390198835259	0	0.12056587535734	0	0.151771225013384	0	0.0283525429473607	0.0433016960968307	0.00184943147972237
BI10008	0.584006235518819	0.100438574230442	0.104258131787433	0.0465345273830713	0.00651675262425304	1	0.731162628306467	0.593040671146644	0.612803001484205	0.22030362891766	0.259478087988039	0.180445266501769	0.28406084432418	0.306195950752748	0.176439644482018	0.379775571366911	0.292855025884898	0.37379078413635	0.417506750661635	0.00747543215896916	0.329226212117411	0	0.127758966929934	0	0.103035742393797	0.0585190693807149	0	0.00669529701749141	0	0.70188409190284	0.224012793987195	0.0516226211327966	0.187683184182815	0.47411113885252	0	0.148215933160921	0	0.573072438071945	0.597789530826262	0.471844980459205	0.212873079377111	0.146496388970175	0.458490983122683	0.216633119063645	0.072913743853948	0.0397454489812578	0.275901441778143	0.0219087060109567	0.0459022867919857	0	0	0.0916009702757642	0.042716669456601	0.0694785710886052	0.148279498261959	0.411710762794196	0.198685326563989	0.433923705456281	0	0	0	0	0	0	0.106805745712439	0.353348556332115	0	0.0788308776633876	0	0.149794524776791	0	0.644681625492424	0.646726646713848	0.69643515902129
BI10009	0.57341138441999	0.0735492283738919	0.156499422089101	0.0656565865629031	0.0876883632367147	0.731162628306467	1	0.83474983577014	0.782145339290717	0.0533706996635345	0.0441603642233077	0.175773679768632	0.166093304231039	0.256645167319945	0.423671997626829	0.233143838407625	0.244345763221515	0.248499936614166	0.314121618900819	0.401413620565048	0.236058893669599	0	0.107104486463231	0	0.0521408057953017	0.0617989773534269	0	0.00285537708897997	0	0.78938974109652	0.0386917159460043	0.0201016314203418	0.412000715931714	0.439781466556854	0	0.14392010130996	0	0.26736842663892	0.391413993074277	0.356744791587937	0.311003162334176	0.261003249843021	0.445689412088573	0.336113397680439	0.187315380642057	0.16825885559334	0.337249958970533	0.14300272262782	0.024583060406171	0	0	0.159822941650624	0.234440807171038	0.339889500056347	0.354473770503079	0.239548029753971	0.235526185267149	0.453021391235553	0	0	0	0	0	0	0.165864352683643	0.391838108876382	0	0.0473876063398878	0	0.00467541961013998	0	0.408504762263121	0.562161101779362	0.664732975173205
BI10010	0.539271479266219	0.0865300943424362	0.168747536324838	0.105425683049846	0.128748164470072	0.593040671146644	0.83474983577014	1	0.817016847423112	0.177595206779588	0.156828759186606	0.161489559435932	0.0669611481026411	0.17762799630068	0.497241963179036	0.174103389464642	0.205062094754516	0.214856861115006	0.292879962581784	0.443083069062458	0.12410745190211	0	0.116946907817481	0	0.0665439789778116	0.0704268261271656	0	0.131724595524476	0	0.753105640512897	0.0541811038833673	0.0599719689801812	0.488229708763443	0.348002659097127	0	0.113511116887571	0	0.121849891846265	0.27476823206313	0.261302645384881	0.29144282861295	0.246376669544173	0.386656489778228	0.342403946972949	0.232322259607741	0.280544115340466	0.324924764806913	0.204619013296492	0.0838851992791012	0	0	0.267433796205907	0.349278060877583	0.441399634532509	0.414881509570641	0.111235069850122	0.188925494026317	0.570481221941568	0	0	0	0	0	0	0.36447353008903	0.525083017397989	0	0.113485435944844	0	0.0507580936579186	0	0.276844653346182	0.475350377581574	0.572721250404975
BI10011	0.561064228712008	0.0333331971064572	0.108941571281533	0.0442888101481454	0.0538115148108781	0.612803001484205	0.782145339290717	0.817016847423112	1	0.0881565527128411	0.0708786183103926	0.139973831289375	0.0540657788537518	0.124699085751852	0.411605324768832	0.151569468117034	0.144563433420297	0.152743523904671	0.221851983067075	0.182729600005886	0.173765958211935	0	0.0597117370826834	0	0.105208841479381	0.0173740488250675	0	0.00491876423667235	0	0.737313204893884	0.0227209433515436	0.0254563651764336	0.390721975995134	0.410632253587101	0	0.0684882957733747	0	0.173748901777666	0.321770163937077	0.242230220897028	0.276941460674149	0.253033749085076	0.414224937838786	0.337877436650338	0.234834224196122	0.241206966190198	0.386613714451796	0.219838592202282	0.11500148068442	0	0	0.212878795727333	0.320366118693907	0.362735176400669	0.318070840376504	0.175996405853349	0.2227815435298	0.516801988505313	0	0	0	0	0	0	0.286636159162292	0.454035224485469	0	0.0165158671027718	0	0.0145636933139854	0	0.269680072596796	0.444754948481448	0.57292069882439
BI10012	0.256485911928474	0.447916304272911	0.494502293348819	0.458951854926831	0.554860481715553	0.22030362891766	0.0533706996635345	0.177595206779588	0.0881565527128411	1	0.6214076378415	0.434377797259096	0.33224429707067	0.424869321397105	0.780399412552673	0.0895307190485502	0.144058558893896	0.0706265462188231	0.137814306354387	0.200121684044981	0.342692625326636	0	0.0283176477638785	0	0.209911003211905	0.0964147320357989	0	0.304326846345257	0	0.0224925067652201	0.771455856873272	0.622865677320887	0.691397464521252	0.501098021744387	0	0.192787022014849	0	0.372422477485374	0.36160151210655	0.107203265601402	0.0503155714112849	0.0647004114989353	0.29020401427889	0.117001950242554	0.117708198910558	0.0193072665300741	0.307307639715412	0.149478927674761	0.208605402431062	0	0	0.515692755621609	0.539174151637128	0.675788524733751	0.668415192521745	0.323823226809333	0.194203622465303	0.190133035503014	0	0	0	0	0	0	0.0264498205492464	0.120369943649799	0	0.141325932161878	0	0.281531886847557	0	0.168896312060757	0.0463169845794596	0.169026158954079
BI10013	0.36171641810269	0.445417095086242	0.473081404106482	0.436495661893979	0.577003085643575	0.259478087988039	0.0441603642233077	0.156828759186606	0.0708786183103926	0.6214076378415	1	0.573156514420452	0.373422314659578	0.4393258679455	0.608246543453297	0.0459811095285658	0.0628657054878841	0.0482295755479402	0.0689303248791038	0.505794068098168	0.634751145041055	0	0.431151604787636	0	0.270472120640753	0.374737277091979	0	0.39817242705361	0	0.0227833079675733	0.612256323891602	0.628948287600783	0.611264419941956	0.659074536747165	0	0.154060745028487	0	0.404290740094944	0.426040699780798	0.233143882647062	0.0782473467062759	0.10473043388515	0.344792954857097	0.174470594131028	0.117846904788404	0.0645686658519945	0.288926340460281	0.126921702452009	0.0950240850825862	0	0	0.513835810184181	0.505986045059018	0.581833802536737	0.540525357625461	0.292478716224869	0.258793829030744	0.287627620536001	0	0	0	0	0	0	0.241438432687877	0.183606704909986	0	0.0486149055261917	0	0.231740383152793	0	0.256469973158234	0.162445922748373	0.179524389229047
BI10014	0.228756134428235	0.624045925493227	0.552858921464371	0.406382462737359	0.645365887079057	0.180445266501769	0.175773679768632	0.161489559435932	0.139973831289375	0.434377797259096	0.573156514420452	1	0.805311386350072	0.792685329061845	0.613982720264399	0.22953428896072	0.220128901080143	0.20764811780704	0.155000417282932	0.429008607665744	0.250723489512732	0	0.303153182521674	0	0.196584014072398	0.368471084366939	0	0.753469772778951	0	0.135350896595353	0.552485786114871	0.682658323254014	0.6519075798604	0.185327306210772	0	0.109348707551641	0	0.00184133784493533	0.0831851379319565	0.0348116842824392	0.069302471241402	0.160416306114972	0.201140219987603	0.25220963816024	0.247435468612786	0.254165860477979	0.288618233036815	0.356956908246781	0.28274260967459	0	0	0.274357479917406	0.281256891798044	0.489007186097204	0.555270434198782	0.0601192103770785	0.258947775826254	0.300259595460563	0	0	0	0	0	0	0.383162593412406	0.212534782957555	0	0.263745946135503	0	0.149416334239585	0	0.166212009079232	0.139636728216748	0.0701049723671065
BI10015	0.202569249564575	0.602137872728784	0.519799162055204	0.377500940485596	0.596781075440617	0.28406084432418	0.166093304231039	0.0669611481026411	0.0540657788537518	0.33224429707067	0.373422314659578	0.805311386350072	1	0.83288607514713	0.504778267670778	0.272183584785872	0.224913982936435	0.254416449250696	0.214722396785975	0.299515176181428	0.0464633684101965	0	0.116476186963416	0	0.14029672971845	0.235015363313516	0	0.782524325352155	0	0.113916237741887	0.475493894943638	0.627177256117501	0.556174500622427	0.138705105306218	0	0.011320301899529	0	0.15601398602381	0.0311597124208683	0.158138728877835	0.0648000857802607	0.188749788880377	0.170150716379365	0.261214403501552	0.334661657827098	0.355858482775278	0.301718134077874	0.457571480195848	0.356608189403946	0	0	0.145862331997208	0.140243281330238	0.368408315455342	0.475542125642943	0.0268600898328504	0.222787698434324	0.410656258880881	0	0	0	0	0	0	0.463610154687496	0.360116295538017	0	0.380940384477657	0	0.147714619937986	0	0.312204591717087	0.225080486675162	0.117427755601408
BI10016	0.171780309150419	0.6650637924448	0.611225102510547	0.463912575248718	0.651590730454687	0.306195950752748	0.256645167319945	0.17762799630068	0.124699085751852	0.424869321397105	0.4393258679455	0.792685329061845	0.83288607514713	1	0.617808764246746	0.305483135250393	0.303709248644413	0.317408166191101	0.280557533700581	0.384929201627955	0.0619525448246033	0	0.0938491450139229	0	0.124547404773617	0.177585130078421	0	0.629939990163269	0	0.212290452671398	0.522356358204396	0.639093998710799	0.663361990712148	0.0269861667135924	0	0.0260501958656303	0	0.149784002560313	0.0103830267622521	0.184788233958978	0.0408686891054613	0.196724049118189	0.171385799156914	0.262734035829168	0.362679918139945	0.284081856168945	0.339904857176347	0.441897825645888	0.391439715960027	0	0	0.185995957895736	0.187439520818493	0.463447491256746	0.578531653691661	0.0193878308962568	0.225447489745913	0.267051768410852	0	0	0	0	0	0	0.354551049819353	0.266674962402182	0	0.290601294364615	0	0.0889602383927564	0	0.338980126510251	0.286722848584153	0.151655739498203
BI10017	0.0378636343395429	0.595345762697706	0.641051930112371	0.528424039749917	0.654597550445729	0.176439644482018	0.423671997626829	0.497241963179036	0.411605324768832	0.780399412552673	0.608246543453297	0.613982720264399	0.504778267670778	0.617808764246746	1	0.164245656086719	0.195776459242585	0.156266252728872	0.23071358822619	0.498469839999057	0.146264912258081	0	0.0879813144428489	0	0.271636049288441	0.0996102980667136	0	0.527599299803779	0	0.363605110050298	0.685198880195084	0.605891870718006	0.90703131475839	0.131370786463638	0	0.151042343219248	0	0.142287035996925	0.125891167323665	0.102789427487935	0.148317834859655	0.00742698287309181	0.133197597194058	0.0401519761685403	0.130555557157455	0.058226665715043	0.213196544451226	0.171251030053898	0.246137447317586	0	0	0.534292076977638	0.595612392931002	0.817981837177264	0.849095314191683	0.17182666793977	0.14007516732925	0.0785566705776507	0	0	0	0	0	0	0.00680878899998118	0.135585151079525	0	0.0822814579013715	0	0.259775850681391	0	0.102791991633952	0.228305738118843	0.173626191388004
BI10018	0.18539488194499	0.0944485254706413	0.033561318287807	0.0815913157820969	0.0330179990667296	0.379775571366911	0.233143838407625	0.174103389464642	0.151569468117034	0.0895307190485502	0.0459811095285658	0.22953428896072	0.272183584785872	0.305483135250393	0.164245656086719	1	0.869168876714018	0.813541727672848	0.767002694564501	0.408027363261414	0.748065203632558	0	0.57088925683571	0	0.555885544290186	0.575831171446103	0	0.0419891372527819	0	0.246486380506552	0.133933538686573	0.112705255264556	0.233335929882581	0.66280584276584	0	0.0541056792533847	0	0.266464157037239	0.241627300535157	0.273185553222803	0.0712311045503062	0.022060098877782	0.104161748082725	0.0325309138772998	0.023477853882268	0.0562040982900071	0.0424544228328551	0.0904720663369579	0.0781968760593271	0	0	0.237634180869042	0.232167434732819	0.0729767529853919	0.190946371578123	0.0697516202555402	0.107884392732751	0.240727363794078	0	0	0	0	0	0	0.0839937093837867	0.174705286903484	0	0.103952130253693	0	0.101189671007314	0	0.399103394516758	0.344717860951353	0.220987677939514
BI10019	0.163538253001317	0.107557496816726	0.0993022352493824	0.0149373147748356	0.0599821852236089	0.292855025884898	0.244345763221515	0.205062094754516	0.144563433420297	0.144058558893896	0.0628657054878841	0.220128901080143	0.224913982936435	0.303709248644413	0.195776459242585	0.869168876714018	1	0.817840503961714	0.785557552111405	0.0663529677098666	0.67112005426912	0	0.519457711816787	0	0.580833251960268	0.666906675932006	0	0.154939470219672	0	0.254151391316934	0.155790105578304	0.134586896339418	0.256866850959936	0.659001368058036	0	0.0457354415996315	0	0.194029899210751	0.174654095855927	0.257682618506323	0.0460610828186651	0.0279335309718451	0.0841898966575197	0.0279237450723978	0.0172888135812043	0.0473565983853748	0.0680619605548707	0.0696712167772232	0.0450284454293372	0	0	0.20951543892172	0.235133332018978	0.091446318500035	0.211848243811273	0.0840394401768474	0.0600311088213527	0.273375477583259	0	0	0	0	0	0	0.111242329527432	0.182651930015284	0	0.083675895124593	0	0.0850753320099657	0	0.355506821217884	0.323162599308238	0.194974844529963
BI10020	0.19303472371411	0.117646241988542	0.0343943399832632	0.164102017724065	0.0444087394479146	0.37379078413635	0.248499936614166	0.214856861115006	0.152743523904671	0.0706265462188231	0.0482295755479402	0.20764811780704	0.254416449250696	0.317408166191101	0.156266252728872	0.813541727672848	0.817840503961714	1	0.851648467795365	0.10736307963905	0.567619617886028	0	0.535353582797754	0	0.661660534440827	0.744821951570121	0	0.0938376279238306	0	0.237672794698176	0.055679134979888	0.113435099944955	0.170372786492575	0.657012862978224	0	0.10009582849497	0	0.398561869173592	0.321629159388891	0.356835061450174	0.101166969364862	0.068953577288162	0.095590420408577	0.0396717426240977	0.0123176248166152	0.0781574609587178	0.0570880687271023	0.154830296260728	0.13028866511969	0	0	0.29500463182442	0.282595454157446	0.0202436896918968	0.117605030732664	0.126824506807578	0.114839054497525	0.123733891757736	0	0	0	0	0	0	0.0894765602936146	0.106361135689891	0	0.0691592240158994	0	0.146390608698568	0	0.512315271386008	0.42372218021959	0.329844551928825
BI10021	0.272096117654262	0.131161151633013	0.0911200985294772	0.0646786262476617	0.0200059272150383	0.417506750661635	0.314121618900819	0.292879962581784	0.221851983067075	0.137814306354387	0.0689303248791038	0.155000417282932	0.214722396785975	0.280557533700581	0.23071358822619	0.767002694564501	0.785557552111405	0.851648467795365	1	0.325050149254069	0.539974444138335	0	0.623726314273969	0	0.601805832537092	0.85018712618693	0	0.0122440206346689	0	0.301828642628195	0.116282133875752	0.0991024267191546	0.284738479790394	0.686671910555617	0	0.0148193506988862	0	0.364474484674211	0.329588004705891	0.401299847023541	0.176166333903352	0.051398075608759	0.19254811443206	0.120244881367988	0.0418761642956524	0.115936326975003	0.0135845508328197	0.0875136117146058	0.0748335226534969	0	0	0.281768359948766	0.242193385627096	0.0666491098979762	0.249582469673827	0.0620523919069394	0.11912238124212	0.403287618460646	0	0	0	0	0	0	0.383245996290397	0.32020979595442	0	0.0823360350441296	0	0.0390401562597921	0	0.504727263859519	0.498808401655537	0.361674508576978
